,sentence,label,split
1,nguyen van binh java developer,0,train
2,tan ky tan quy binh hang hoa binh tan tphcm nguyenvanbinh gmailcom httpswwwfacebook comhomephp,0,train
3,profile develope ability skill furtherseeke responsible job opportunity professional challenge,0,train
4,learn improve experience,0,train
5,education dong university construction major civil industrial civil engineer,0,test
6,international programer fpt aptech ho chi minh city major engineer average grade average grade,1,test
7,project,0,test
8,java web application project,1,test
9,description shoe manager ecommerce web application function customer view search orderslogin require desire product manage profile track order web application provide administrative tool category product order member inventory management,1,test
10,team size person technology spring mvc spring jpa datum thymeleaf microsoft sql server css bootstrapjquery ajax c aspnet project,1,test
11,description star security web application function display brief information star security display service provide customer view search filter service contact star security website appointment application provide administrative tool category service appointment employee management,1,test
12,team size person technology aspnet mvc framework microsoft sql server jquery bootstrap php project fpt aptech,1,test
13,description sweet bakery web application function dynamic website customer view search filter order online administrator track sale language vietnamesenative english fluently team size person technology php wamp server jquery bootstrap,1,test
14,web frontend project fpt aptech,1,test
15,description nexus aquarium website function display information nexus aquarium team size person technology css jquery javascript bootstrap,1,test
16,programing language java web spring mvc thymeleaf framework php c aspnetwith entity framework javascript jquery library,1,test
17,database sql server mysql,1,test
18,programing skill html css bootstrap library,1,test
19,skill basic office word excel powerpoint ability instal window basicprogram,1,test
20,skill teamwork flexibility learningusing technology skill,1,test
21,hobboy,1,test
22,play sport,0,test
23,travel place reference,0,test
24,reference nguyen van binh,0,test
25,service director,0,test
26,email nguyenvanbinh@gmailcom,1,test
27,mobile,0,test
28,ngo thi canh f r e s h e r n t e r n p e r s o n l n f o r m t o n e x p e r e n c e ftpserver developer sep dec nov female canhngo@gmailcom danang vietnam o b j e c t v e apply technology study final year information technology danang university science study learn develop assignment project different programming language look good opportunity knowledge learn paper pratice background include relevant experience past project preassigne assignment desire learn explain believe suitable position company knowledge cc java python html css javascript reactjs sql server s k l l s basic english comunication build program transfer file image function relate directory java equipment management system bussiness analyst tester sep dec analysis equipment management system dut find user requirement design mockup excute test case technology drawio excel problem philosopher dinner developer sep dec build program resolve problem philosopher dinner monitor algorithm java student attendence system datum collector developer jan system use deep neural network perform facial recognition time build webserver allow teacher view information statistic number student session technology python nodejs firebase rasberry pi money manager android app developer sep dec revenue app help user contol expenditure review plan spend future java monthly e d u c t o n danang university technology science dut information technology information system aug present problem solve skill teamwork work skill learn skill gpa p r o j e c t s money manager httpsgithubcomnguyetcanhtmoneymanager ftp server httpsgithubcomcanhngomyftp problem philosopher dinner httpsgithubcomcanhngodiningphilomonitor,0,test
29,tran ngoc phuoc mobile email phuoc@gmailcom,0,test
30,tran ngoc phuoc apply php intern developer,0,test
31,tran ngoc phuoc date birth gender phone,0,test
32,email phuoc@gmailcom address cua dai street hoi city quang nam province career objective,0,test
33,professional developer,1,test
34,exceed limit,0,test
35,learn possible good order accomplish task,1,test
36,develop skill development company want prove education background greenwich university oct apr iviettech professional programmer training center major information technology major php developer grade excellent gpa,1,test
37,tran ngoc phuoc mobile email phuoc@gmailcom technical skill php web developer,0,test
38,analyze design database,1,test
39,use mvc pattern structure organize code,1,test
40,work scrum model,1,test
41,work github teamwork,1,test
42,develop project laravel framework programming,1,test
43,html css javascript php,1,test
44,laravel framework database operate system,1,test
45,mysql,1,train
46,mac os english skill,1,train
47,read skill good material listen skill normal speak skill normal write skill normal take project hotel book management mar apr project management book hotel description build website function,1,train
48,list room,0,test
49,filter room available book,0,test
50,allow guest create book registration login,0,test
51,allow admin comment room,0,test
52,allow admin manage entire system team size position developer responsibility analyze design design database laravel version write code review code fix bug technology visual studio code laravel valet jquery ajax boostrap link source code httpsgithubcomivtphhotelbookingmanagement cms jan feb project course management system description project build website manage course student deploy cloud build website function,1,train
53,admin manager student staff teacher,0,test
54,allow admin manage entire system,0,test
55,allow staff assign student teacher course,0,test
56,allow staff create account student,0,test
57,student update information view course,0,test
58,teacher view course change information,0,test
59,team size position developer,0,test
60,tran ngoc phuoc mobile email phuoc@gmailcom responsibility write document uml laravel framework write code review code bug fix deploy code cloud heroku cloud technology visual studio code laravel valet bootstrap heroku cli link source code httpsgithubcomngocphuochacmsgreenwichgit home page iviettech oct nov description project code html css javascript interface homepage iviettech responsibility html css javascript write code team size position developer review code fix bug technology visual studio code,0,test
61,thing learn project,0,test
62,teamwork skill,1,train
63,work github,1,train
64,interact think slack,1,train
65,code follow psrphp code standard,1,train
66,use bootstrap interface beautiful,1,train
67,communicate read material write email report,1,train
68,team work presentation information research,1,test
69,analytical problem solve,1,test
70,work carefully,1,test
71,able work pressure find easy adapt new work environment soft skill,1,test
72,able work pressure find easy adapt new work environment listen music watch movie interest reference,1,test
73,hieuttsex@funixeduvn hieu tran thanh da nang city vietnam linkedincominhjeu summary hello hieu want live well life experience accountant datum analysis minh dai hang company mar present year compile analyze report financial datum present datum manager investor entity create periodic report balance sheet profit loss statement sale management software bcmdh vba userform pivot table excel trial period year shorturlatzar residential management software quanlydancu vba userform excel free shorturlatilvko website caconutvn workpress elementor plugin project employee sun group jan feb year month flower nursery plant care tree education funix online university university computer software engineer establish october funix online university member fpt education mission create skillful information technology engineer meet global industry standard short time come true provide student socalle funix way funix way strongly believe have strong passion information technology able software engineer method funix cooperate enterprise organization stafftraine increase efficiency save cost website funixeduvn iviettech java programming z website iviettechvn hieu tran thanh page danang university medical technology pharmacy intermediate pharmacy pharmaceutical science administration website dhktyduocdneduvn skill datum analysis visual basic application vba report analysis microsoft excel microsoft power query microsoft power bi uipath java wordpress html hieu tran thanh page,0,test
74,objective education final year student major frontend developer love experience gain pratical knowledge industry intern positition sept nguyen binh khiem gifted high school major information technology member guitar club nbk sept da nang university education major information technology gpa work experience feb apr coffee house design role frontend developer develop standard html css javascipt linkhttpstrungthuctkwebhostappcom nov dec game story design role frontend developer develop standard html css javascipt linkhttpstrungthuctkwebhostappcom honor award dannang university scholarship st semester nd semester nguyen trung thuc frontend development intern,1,test
75,aug,0,test
76,trungthuctk@gmailcom,0,test
77,da nang viet nam,0,test
78,httpfbcomtrungthuctk skill html css bookstrap sql java scrip basic c java github interest music guitar billiard,1,test
79,pr ofile thien php developer year exper ience h exper ience involve build scalable ser ver web app framewor ks php laravel h wor ke nodejs vuejs jquer y m ysql look e challenge role reputable organization utilize technical database management sk ill growth organization enhance k nowledge new emerge trend sec tor work experience php web d eveloper vie tnam co ltd d evelope food truck business ser vice web app laravel php framewor k jquer y html css m ysql help solve var ious problem cur rent food truck business create benefit space vendor store owner build restful apis ser ve datum user save datum file image pdf pr ojec t food truck m atche s er vice qme website url httpw w wqmejp food truck match ser vice website func tion login r egister r eset password datum process g et datum check s ave file mage pdf wr ite api database access s end mail space provider store owner manager framewor k laravel php jquer y csshtml m ysql database m anagement system s osial net wor ks website url httpslonelysosialherok uappcom social net wor k e website single page application func tion login r egister r eset password wr ite post like post comment r eply comment m essage realtime notification follow s earch listen music framewor k laravel php vuejs vuetify b ootstrap csshtml m ysql database m anagement system youtube video website url httpslonelymusicherok uappcom repost video youtube website func tion login r egister r eset password r epost video like comment s earch profile m anagement nodejs jquer y b ootstrap csshtml m ongodb database m anagement system l e x u n t h e n p h p d e v e l o p e r c o n ta c t,1,test
80,ton duc thang hoa khanh distric t da nang cit y xuanthienqt@gmailcom phone w w wfacebook comtestlifeonlyi e d u c o n bachelor automotive engineer technology universit y technology education universit y danang cer tific eat comple ted course php mysql s tech cor poration nter national nfor mation technology training center s k l l s php vue js node js jquery git,0,train
81,nguyen thi thanh dieu,0,train
82,personal detail,0,train
83,nguyen thi thanh dieu june th date birth female marital status marry phone email,0,train
84,thanhdieu@gmailcom,0,train
